"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0101-14921,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14922,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14924,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14928,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14938,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14945,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14946,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14947,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14967,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14969,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14970,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14973,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14974,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14975,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14976,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14977,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-15014,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15015,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15016,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15017,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15018,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15019,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15020,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15021,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15022,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15023,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15030,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15031,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15032,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15033,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15034,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15035,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15036,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15037,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15038,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15039,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0101-15058,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-15059,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
